block_number,block_timestamp,tx_type,transaction_hash,pool_tx_index,pool_log_index,proxy_log_index,sender,receipt,amount0,amount1,total_liquidity,total_liquidity_delta,sqrtPriceX96,current_tick,position_id,tick_lower,tick_upper,liquidity
18537827,2023-11-10 00:00:11,SWAP,0x5fa5389a58c7e0094bfd631067a78b28f1a55ca8af6dbd12fa0eef712eabc53c,306,478,,0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,0x180efc1349a69390ade25667487a826164c9c6e4,2053720028,-967475575973702761,15219221119347189882,0,1720033615368495409631536392506644,199720.0,,,,
18537828,2023-11-10 00:00:23,SWAP,0x9152596792199f6a7d5ca835eebdc15082760e178dda518600e1e87f51696a64,18,45,,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,0xa9cffe466ba8a72707d1104de239c9ab477e2493,915295875,-431179831531097773,15219221119347189882,0,1720031370734193987230433579410169,199720.0,,,,
18537828,2023-11-10 00:00:23,SWAP,0x4a9cb6a021fce3992b8b160ce52179e11d95d8eba5305ad9ca9ca9d668aa5e86,102,217,,0x1111111254eeb25477b68fb85ed929f73a960582,0x1111111254eeb25477b68fb85ed929f73a960582,16529068342,-7786360496013522669,15194321159192688515,0,1719990827974072322221477999895455,199719.0,,,,
18537828,2023-11-10 00:00:23,SWAP,0x65c7df7e2c6d4165ac49c674967011f931c743a5766ccc5187ef1730429b4fee,129,307,,0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,-1908670798,900000000000000000,15194321159192688515,0,1719995518522129257804785071508704,199719.0,,,,
18537828,2023-11-10 00:00:23,SWAP,0x0f41dedae80fb3b98a5ccd8f99c18267a2ae1661f742a2d7ab8e728fc6bfdbef,147,346,,0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,5000000000,-2355294212932285641,15194321159192688515,0,1719983237247387463400447319236990,199719.0,,,,
18537830,2023-11-10 00:00:47,SWAP,0x583378d837d4c514d53a71f028c4fa95b770af802dca80b93efd25d2b553a211,1,8,,0x1111111254eeb25477b68fb85ed929f73a960582,0x1111111254eeb25477b68fb85ed929f73a960582,5000000000,-2355260578183268577,15194321159192688515,0,1719970956148028256564898328473487,199719.0,,,,
18537830,2023-11-10 00:00:47,SWAP,0xcc0a1cdbc3a808110bc39422d594e61486e849301452ba166a71f0d9aa5c4ab6,137,260,,0xe592427a0aece92de3edee1f18e0157c05861564,0x433a00819c771b33fa7223a5b3499b24fbcd1bbc,3903139338,-1838558666569461552,15194321159192688515,0,1719961369301514956064793593244476,199719.0,,,,
18537831,2023-11-10 00:00:59,SWAP,0xdf837615b025627279ba195b8af4730cf4375acbade0f002dc302ce14c43aca7,6,68,,0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,0x8a172b67dd72f1235aead0dc0026deb5b740536b,-11960571495,5639684025495943939,15194321159192688515,0,1719990761755901090118693849625528,199719.0,,,,
18537831,2023-11-10 00:00:59,MINT,0x04c24e71d583821b4b88bfc86f4cece9745cf5db83d24c183f60094153113fa5,193,312,314.0,0xc36442b4a4522e871399cd717abdd847ab11fe88,,43264696603,86017410969335859139,15429434194340597364,235113035147908849,1719990761755901090118693849625528,199719.0,601362.0,199380.0,199800.0,235113035147908849
18537832,2023-11-10 00:01:11,SWAP,0xcdbc50e7cb7dd17c12273f0cd9e1f6d768788a4379410ff9dfae8da159a073f0,9,57,,0x5050e08626c499411b5d0e0b5af0e83d3fd82edf,0x5050e08626c499411b5d0e0b5af0e83d3fd82edf,-113506539655,53530389510321103617,15454334154495098731,0,1720265061874245566742069803443466,199723.0,,,,
18537832,2023-11-10 00:01:11,SWAP,0x102d7963af1cff7ed0812801e9a8feb0e0628888c6df71cb41b4f2713e63af75,39,116,,0x1111111254eeb25477b68fb85ed929f73a960582,0xd76f577d6a3d325a3d021ca8a0a5f14cf811c0bd,-105987965790,50000000000000000000,15454334154495098731,0,1720521263622057439188206101658467,199726.0,,,,
