address,position_id,tick_lower,tick_upper,start_time,end_time,liquidity,start_hash,end_hash
0x0af9a3a1eb903a6d9d7e48973e57ed3d123eac34,622458,198870.0,199400.0,2024-01-05 17:36:11,,7012769874844774,0xedc73d90bed797e5e59b67f836478017ebcffb777fdf7f37166ebeaee7b5a19d,
0x0f3c2476fbf0ed09dff00ea7f4ef252dcc72e6f1,639504,198770.0,199570.0,2024-01-05 13:42:59,,102145677641535706,0xa68b79403a9619488946bbd38aec0097da24823472e51279170f338ac5b21eb0,
0x1111567e0954e74f6ba7c4732d534e75b81dc42e,632428,198240.0,199370.0,,2024-01-05 14:09:11,377202489023935342,,0xefe3512c6a1d01bcb9975b767340e517c4bd9218867aca70c45edc748736b220
0x11b50686d3983c14c0d0972a5e46e38e0d9b2e14,639514,199130.0,199140.0,2024-01-05 13:55:23,2024-01-05 14:01:47,82295445273243115456,0x2a897753c94504a28af7dc39fd5e74f56c4c8fbe3708364083d6e96f4e0cbfd1,0x681b030492d0a30b7d08d51029379dfadbd188e9a70b984603ee307dc7671f7f
0x11b50686d3983c14c0d0972a5e46e38e0d9b2e14,639520,199150.0,199160.0,2024-01-05 14:07:59,2024-01-05 14:40:23,82447411503210929515,0xa140ef5073d2874b08fc32e6374be2e84d4169cd71b576e5885ecd2bbc0ff0f2,0xa4f70073834a3f7bbe762220fc9e264acf893d7805fa0493e3315cbbdd6147d9
0x11b50686d3983c14c0d0972a5e46e38e0d9b2e14,639544,199200.0,199210.0,2024-01-05 14:43:35,2024-01-05 14:44:35,82282076581019059632,0xd652cce78fdd538a8477a73290f780df6348ab8ee4623a60df21184028f8a0d5,0x9d3ef5e6e24935beda07121f7ec1ca691c8c13a7600240068f74f801d35da6ca
0x14d0887bceb5cb5e1b45fed67611c10385e92c50,637239,197690.0,199360.0,,2024-01-05 17:07:47,48387668888823991,,0x828f901b177f128fd54f2b2071c5c8fd03c1be1dfc540cf17ac8c026b7bccec3
0x14d0887bceb5cb5e1b45fed67611c10385e92c50,639642,198700.0,199820.0,2024-01-05 17:15:59,,75610977585054113,0x47e42f97d59aeccfd8f98a45ba025643348f11e4c9955b4c67091393909eda5b,
0x1f89162291a46993cb89bfe05703ab481db3b0f5,638209,198780.0,199560.0,,2024-01-05 10:16:23,110468947760092,,0x8282e2ce7a8989706fb5945480fac3e30917f2130d21f4b4abdaa6b9b37071de
0x20e97be90357a0c700f1ad2ea0c94161eeaa9a42,584375,192660.0,207240.0,,2024-01-05 10:00:59,3979444958368000,,0xa9e8dc7297859e60a056b7ed8745cb874226019aca9924b088c5f66e993f2200
0x33904ffc0ce681f1cb45821da8872c584ffb123e,639200,198660.0,199270.0,2024-01-05 07:32:23,,4168023889746695,0x2d1e2751c9782706357a3327802969aa98720fd929479e97ce78e51b01d3709b,
0x384dbbe1a9344c2eb8b3996e9449d596c50c6a42,633018,196870.0,200320.0,2024-01-05 10:24:23,,13977525707190970,0x27da694c64006d31300adf8507aa764aa6b52f36590022885bd91640e726c07f,
0x3e3007671efaf119444d2257d777fac90a6dbf13,630873,198720.0,199120.0,,2024-01-05 17:16:47,102789563564708552,,0xc172807c5faaa4fc3d52c42e66c09ac405db97ec8e0bba9298d8472e5483bdb1
0x3e3007671efaf119444d2257d777fac90a6dbf13,639645,198790.0,199410.0,2024-01-05 17:21:59,,68142659149392382,0x998d6cdcaac0ae98c367213cf9fb05137198d9aa536c40818eb68065f7b88921,
0x4652d3c8b3373df2f6cf6b01807554ae1d534fbe,639311,198530.0,199380.0,2024-01-05 09:45:23,,100156570180005525,0x8020a064a924235bb2ad57ebc1e9385e4d130a5932d0361386a7b95f7db57165,
0x51c72848c68a965f66fa7a88855f9f7784502a7f,0x51c72848c68a965f66fa7a88855f9f7784502a7f-199050-199060,199050.0,199060.0,2024-01-05 01:13:47,2024-01-05 01:13:47,374209058380740165632,0x2b3f9d4776acd495665018f8deae9de73ec4b723f3655219ff487c4766617250,0xdf6d44533d8f63c3f2c636e8168f1eb053cf6b6d3c310334793e29eafa5d9cbf
0x51c72848c68a965f66fa7a88855f9f7784502a7f,0x51c72848c68a965f66fa7a88855f9f7784502a7f-199060-199070,199060.0,199070.0,2024-01-05 00:44:59,2024-01-05 00:44:59,389297572651811471360,0xf66dc1f9c6d2cc31f5a09d52a5b99956b00ad849434c533c52b8858dc804fe28,0xbf586d67dfa4e650791c84554f670a86574911229023f9f727b72dc5373927e2
0x51c72848c68a965f66fa7a88855f9f7784502a7f,0x51c72848c68a965f66fa7a88855f9f7784502a7f-199060-199070,199060.0,199070.0,2024-01-05 23:54:11,2024-01-05 23:54:11,530018434452072759296,0x55ef2ca55d22494d03d245b5e529e0286e3a2ec68a92f7ecc15f9c7d0c62a4f7,0xe781ca35c6be32d4d489046657e55ea16d0df3123b550f4b0b0df44c3d598e1f
0x51c72848c68a965f66fa7a88855f9f7784502a7f,0x51c72848c68a965f66fa7a88855f9f7784502a7f-199070-199080,199070.0,199080.0,2024-01-05 09:16:35,2024-01-05 09:16:35,538006286918146195456,0x43dceaf1b7c77223f4a1fe90639ebb407c732448d1c5ac2c0d38c325ba2fd788,0xa0ce3e1cff2627e30c924c7dc6032fbe7aaaa38d7b569fb004a8e1c442b5675f
0x51c72848c68a965f66fa7a88855f9f7784502a7f,0x51c72848c68a965f66fa7a88855f9f7784502a7f-199070-199080,199070.0,199080.0,2024-01-05 09:33:47,2024-01-05 09:33:47,401552290494004068352,0x3154ff51c79fa930be31681aa1197c7b294ca5c902c082c5d5cec9d6cd1305c1,0x590ec48473a040651c179d240d66119373a5b04b367c1d588b727962bec4fad8
0x51c72848c68a965f66fa7a88855f9f7784502a7f,0x51c72848c68a965f66fa7a88855f9f7784502a7f-199080-199090,199080.0,199090.0,2024-01-05 09:23:47,2024-01-05 09:23:47,282699863132874768384,0x38a36ee87f2fa7d2888a7bf0e34b3fd5045159d971a3b9f44f2f298c41f4167c,0x6f4e917efdbf939c436058cb347934a67044eed82d2e129bb4b69e9c4ecf99df
0x51c72848c68a965f66fa7a88855f9f7784502a7f,0x51c72848c68a965f66fa7a88855f9f7784502a7f-199110-199120,199110.0,199120.0,2024-01-05 20:55:35,2024-01-05 20:55:35,252412159288547606528,0xa9e81ff3a2423c952d1d51a55251cd1c22ece6457633eebc288919061d202d81,0x45a83ffd38d625ed00ef83fc030944ef5f26595f7b9ebeca9f27f67ca9fcca59
0x51c72848c68a965f66fa7a88855f9f7784502a7f,0x51c72848c68a965f66fa7a88855f9f7784502a7f-199130-199140,199130.0,199140.0,2024-01-05 06:07:47,2024-01-05 06:07:47,291570888392828846080,0x59f2460e22ba49c6bd942f6aa9c67b41062125b40abb0af89b04be67c8aee42b,0x979867455f7dd8c9e5830e57fc225c362a38250b88d8215c25d7f5f9f4407b30
0x51c72848c68a965f66fa7a88855f9f7784502a7f,0x51c72848c68a965f66fa7a88855f9f7784502a7f-199150-199160,199150.0,199160.0,2024-01-05 06:38:23,2024-01-05 06:38:23,309862507815858929664,0x228174bc04a34f0355feb5b23f8a05050808c00832b32c42fbe63678e9ad56cc,0x1f84a16648bb2f7a3ecae76c42c6eddcfb9582306e1f11da8fd9f5ea506ce6cb
