transaction_hash,block_number,transaction_index,from,to,value
0xaeb8569189f8e5b045f1bd1f0136bab700feecc2467ee1f94c11a21dfd58c11b,18937868,0,0x4603180bbb8221157880afaa84638e0fc467738d,0xa69babef1ca67a37ffaf7a485dfff3382056e78c,12917504.000000000
0x6f31b6df388849161b24bce28d31e91fa064a4958e4c49ec4cc186976c0ebedb,18938311,70,0xaf0fdd39e5d92499b0ed9f68693da99c0ec1e92e,0xc36442b4a4522e871399cd717abdd847ab11fe88,0E-9
0x29f9d7d504f10a330d09bf60156b0ef6b3ff713c63b98b4ecf31862c264295b5,18938314,141,0xaf0fdd39e5d92499b0ed9f68693da99c0ec1e92e,0xc36442b4a4522e871399cd717abdd847ab11fe88,199999999999999999991.000000000
0x1f84a16648bb2f7a3ecae76c42c6eddcfb9582306e1f11da8fd9f5ea506ce6cb,18939349,3,0x12dde15d3bc00d69fb6f94b5afe8cb71a364756c,0x51c72848c68a965f66fa7a88855f9f7784502a7f,0E-9
0xa9e8dc7297859e60a056b7ed8745cb874226019aca9924b088c5f66e993f2200,18940346,116,0x20e97be90357a0c700f1ad2ea0c94161eeaa9a42,0xc36442b4a4522e871399cd717abdd847ab11fe88,0E-9
0xb4b0b340df3637a3aba91c474d740bdaf68e07cfc65fb640848e4249fa2d4974,18940927,49,0xbe284ab5a8038812f0e8a01559eb253f98d8da69,0xc36442b4a4522e871399cd717abdd847ab11fe88,14328639396010743.000000000
0xd652cce78fdd538a8477a73290f780df6348ab8ee4623a60df21184028f8a0d5,18941739,114,0x11b50686d3983c14c0d0972a5e46e38e0d9b2e14,0xc36442b4a4522e871399cd717abdd847ab11fe88,870399999999999999992.000000000
0x28f81039999b27ef1ba91ce9441b5268edc747dd05b4bfdb6348b81b07dc69d9,18942262,6,0x3a67b184803641ba107c4c75276d747d123e49ca,0x51c72848c68a965f66fa7a88855f9f7784502a7f,0E-9
0x7ba5e25fcbf3c9d2cdfeb84e7ddaf76a994521fd69b47893445a6237983adcfd,18942446,121,0x844d39d9215c40b47a703f2ecf8da43e20b5b687,0xc36442b4a4522e871399cd717abdd847ab11fe88,0E-9
0x70da7cd0169a8cdb2230665211ddc26529a0fb33c048d0c90a6a1da4f1b38dd1,18942493,111,0xaf0fdd39e5d92499b0ed9f68693da99c0ec1e92e,0xc36442b4a4522e871399cd717abdd847ab11fe88,0E-9
0xf926162a57f59e1f71171008fe38c480ef454050beb1a100131c051e53d8a09a,18943516,2,0x93f635372008b7c5d770aaa6ff313454c8dc498c,0xa69babef1ca67a37ffaf7a485dfff3382056e78c,2278400.000000000
0xbf586d67dfa4e650791c84554f670a86574911229023f9f727b72dc5373927e2,18937605,6,0x867bdc57d1b071fe5a9f670dd70b91e4269814d3,0x51c72848c68a965f66fa7a88855f9f7784502a7f,0E-9
0xb54100a8bf1af30a419343f273c534d87e44c873d1b8df323306040e0277c3e0,18937716,85,0xc3a60ac0d824346b40e84d09cf035d9b5c4bc7d3,0xc36442b4a4522e871399cd717abdd847ab11fe88,0E-9
0xf8f1154558e5ca4d174bed782c6407be5340052e1e1c3e4e965d126692d51b92,18937866,112,0x5f7b22bb02be227be5f3c7193aa7baf9378708d6,0xc36442b4a4522e871399cd717abdd847ab11fe88,0E-9
0x5c6e748b0f0d55ae58fd9b89e27c9d0d2495313e189051b3bbeb2e7a43348ac8,18939190,116,0x7140ceea585cc185fae332379c4abbec9e71e146,0xc36442b4a4522e871399cd717abdd847ab11fe88,0E-9
0x59f2460e22ba49c6bd942f6aa9c67b41062125b40abb0af89b04be67c8aee42b,18939196,0,0x5fa60dd1d2809604496d3315ab6f878bd59f64d4,0x51c72848c68a965f66fa7a88855f9f7784502a7f,0E-9
