block_number,transaction_hash,transaction_index,log_index,data,topics
18937381,0xc036a08d0bb8810fcbd804a5bebe911db939e63e1fc904fbad11d6b878abd412,206,249,0x000000000000000000000000c36442b4a4522e871399cd717abdd847ab11fe880000000000000000000000000000000000000000000005e0fa35ea4047e0af9600000000000000000000000000000000000000000000000004aedbf25b818816,"[""0x40d0efd1a53d60ecbf40971b9daf7dc90178c3aadc7aab1765632738fa8b8f01"", ""0x000000000000000000000000000000000000000000000000000000000009b668""]"
18937385,0x17a198309ac4d043ceb3a903cb34b2e1911c7ea2e84d84eeed0e46ae54453cb1,106,230,0x00000000000000000000000000000000000000000000000dd9f7bc7e785796a60000000000000000000000000000000000000000000008d14ea746e9ed9850ab00000000000000000000000000000000000000000000000000660e1de8bd2c96,"[""0x3067048beee31b25b2f1681f88dac838c8bba36af25bfb2b7cf7473a5847e35f"", ""0x000000000000000000000000000000000000000000000000000000000009bf57""]"
18937388,0x8ced718c6a65b12efc220badee33c2a805802ca0f16816b12735b5434faa1d04,113,188,0x0000000000000000000000000000000000000000007b8c09ea71f3a274abbcf10000000000000000000000000000000000000000000051ebae9dba26d4e0ba200000000000000000000000000000000000000000000018e05a50568b3d10a000,"[""0x3067048beee31b25b2f1681f88dac838c8bba36af25bfb2b7cf7473a5847e35f"", ""0x000000000000000000000000000000000000000000000000000000000009bf58""]"
18937390,0x614d5c48c3e993e315a4ffa4354a086ade920c89d85976ba0fe92bd38a97e3a7,84,214,0x00000000000000000000000000000000000000000000000000ac130498005e7e00000000000000000000000000000000000000000000035e9523b1e0cf69d85400000000000000000000000000000000000000000000000000000000a81cd227,"[""0x26f6a048ee9138f2c0ce266f322cb99228e8d619ae2bff30c67f8dcf9d2377b4"", ""0x000000000000000000000000000000000000000000000000000000000009b9b9""]"
18937390,0x614d5c48c3e993e315a4ffa4354a086ade920c89d85976ba0fe92bd38a97e3a7,84,218,0x000000000000000000000000b720bcbfda758fed6b49e406e8243e25e28bf1e400000000000000000000000000000000000000000000047bb67e4471201042d000000000000000000000000000000000000000000000000000000000c30f96e9,"[""0x40d0efd1a53d60ecbf40971b9daf7dc90178c3aadc7aab1765632738fa8b8f01"", ""0x000000000000000000000000000000000000000000000000000000000009b9b9""]"
18937390,0x6b59ec9c983a8ba9100e9423229cbd97aba1784fd73b84d9f2c68dfa1953db04,163,409,0x0000000000000000000000000000000000000000027077fb08de2fc700281cca000000000000000000000000000000000000000000019e1167f97bac407e89e4000000000000000000000000000000000000000000034f086f4af46996ef1fff,"[""0x3067048beee31b25b2f1681f88dac838c8bba36af25bfb2b7cf7473a5847e35f"", ""0x000000000000000000000000000000000000000000000000000000000009bf59""]"
18937391,0x730e2efc613b39f1b3ddb2feeabef29a2d0029db5b4711a719a84d40e88aafa3,174,351,0x0000000000000000000000000000000000000000000000007f3aa4fab3fa181c00000000000000000000000000000000000000000000000029328344315f49760000000000000000000000000000000000000000000000001e87f85809dc0000,"[""0x3067048beee31b25b2f1681f88dac838c8bba36af25bfb2b7cf7473a5847e35f"", ""0x000000000000000000000000000000000000000000000000000000000009bf5a""]"
18937392,0xb5d11da7853b62ac4bb5d75f4ab29e348ea583d70e82d5ce27cf66360a7ae627,62,181,0x000000000000000000000000000000000000000000006d7d712501d8bf114b930000000000000000000000000000000000000000000005ece0c84241a95906be0000000000000000000000000000000000000000000000000810bc8d0a2cc51f,"[""0x3067048beee31b25b2f1681f88dac838c8bba36af25bfb2b7cf7473a5847e35f"", ""0x000000000000000000000000000000000000000000000000000000000009bf5b""]"
18937399,0x28fb700d2f3c4f7aff132759c26207330881b71d20f3e346bea6c3833a3ba563,99,271,0x000000000000000000000000c36442b4a4522e871399cd717abdd847ab11fe880000000000000000000000000000000000000000000001925b1b0745f7fa6dd6000000000000000000000000000000000000000000000000013ae437aec7ad2a,"[""0x40d0efd1a53d60ecbf40971b9daf7dc90178c3aadc7aab1765632738fa8b8f01"", ""0x000000000000000000000000000000000000000000000000000000000009bec7""]"
18937399,0x79f1a4ec40ca3e81289738f635c546e66d18540f089a417ceab1dcea209e588f,113,315,0x000000000000000000000000c36442b4a4522e871399cd717abdd847ab11fe88000000000000000000000000000000000000000000000164ed9de4d45f1b159a000000000000000000000000000000000000000000000000011c2ad4a945950b,"[""0x40d0efd1a53d60ecbf40971b9daf7dc90178c3aadc7aab1765632738fa8b8f01"", ""0x000000000000000000000000000000000000000000000000000000000009bc13""]"
18937400,0x0873826e9551f15a79c678c9988269f208b1cb5fa40c10da4fd466cd033bddea,83,147,0x000000000000000000000000c36442b4a4522e871399cd717abdd847ab11fe8800000000000000000000000000000000000000000000011b1c20e9739aea89db00000000000000000000000000000000000000000000000000ac0c3529a8319e,"[""0x40d0efd1a53d60ecbf40971b9daf7dc90178c3aadc7aab1765632738fa8b8f01"", ""0x000000000000000000000000000000000000000000000000000000000009b901""]"
18937400,0x64d70990e63672640217e8a2f01371e43542d83c0b4f129ec9259dbe4446db77,85,151,0x000000000000000000000000000000000000000000000008923ad7f6b678a42d0000000000000000000000000000000000000000000000000de0b6b3a763ffff00000000000000000000000000000000000000000000054b33b6041614a0b2b1,"[""0x26f6a048ee9138f2c0ce266f322cb99228e8d619ae2bff30c67f8dcf9d2377b4"", ""0x000000000000000000000000000000000000000000000000000000000009bf45""]"
