timestamp,netAmount0,netAmount1,closeTick,openTick,lowestTick,highestTick,inAmount0,inAmount1,currentLiquidity
2022-01-05 00:00:00,-9383445114,2477485048495721856,193921,193919,193919,193921,0,2477485048495721856,1400049692807883305
2022-01-05 00:01:00,-35317761550,9329849855269298153,193929,193921,193921,193929,704261153,9515626276489030515,1400049692807883305
2022-01-05 00:02:00,-55692411213,14727627582768166668,193942,193937,193937,193942,499743350,14859678472128538245,1395128131590419632
2022-01-05 00:03:00,-38046206567,10072088964438161763,193951,193943,193943,193951,47863123,10084752886089992479,1370269449887500119
2022-01-05 00:04:00,-33125549,10330467361642076,193951,193951,193950,193951,5880960561,1566241989228668416,1370269449887500119
2022-01-05 00:05:00,1420811066,-373648414994786886,193951,193949,193949,193951,10003418683,2272805486534555254,1370269449887500119
2022-01-05 00:06:00,-33016669293,8748144089987969204,193958,193951,193951,193958,1921432381,9256525870669599665,1370269449887500119
2022-01-05 00:07:00,0,0,193958,193958,193958,193958,0,0,1370269449887500119
2022-01-05 00:08:00,25769758545,-6821357233413298917,193952,193956,193952,193956,25769758545,0,1370269449887500119
2022-01-05 00:09:00,15395983787,-4073387771244247486,193952,193949,193949,193949,15395983787,0,1370269449887500119
2022-01-05 00:10:00,6282355703,-1661734137406072906,193947,193948,193947,193948,6282355703,0,1455262468155384164
2022-01-05 00:11:00,51980146486,-13740225661231130563,193936,193938,193936,193938,51980146486,0,1453959908969200824
2022-01-05 00:12:00,39595126141,-10455715572039309920,193927,193933,193927,193933,39595126141,0,1460184029372847837
2022-01-05 00:13:00,0,0,193927,193927,193927,193927,0,0,1460184029372847837
2022-01-05 00:14:00,21265107185,-5610580285121489253,193922,193923,193921,193923,25051877875,1000000000000000000,1460184029372847837
2022-01-05 00:15:00,0,0,193922,193922,193922,193922,0,0,1460184029372847837
2022-01-05 00:16:00,22593191751,-5959137001295616405,193922,193922,193917,193922,22593191751,0,1460184029372847837
2022-01-05 00:17:00,0,0,193922,193922,193922,193922,0,0,1460184029372847837
2022-01-05 00:18:00,-1303923479,345344123057333393,193917,193917,193916,193917,4400000000,1505531812425878309,1470266597379937811
2022-01-05 00:19:00,-647548275,170930227344653756,193918,193918,193918,193918,0,170930227344653756,1470266597379937811
2022-01-05 00:20:00,0,0,193918,193918,193918,193918,0,0,1470266597379937811
2022-01-05 00:21:00,0,0,193918,193918,193918,193918,0,0,1470266597379937811
2022-01-05 00:22:00,9384042404,-2474345749122579993,193915,193917,193915,193917,9384042404,0,1470266597379937811
2022-01-05 00:23:00,12603999316,-3322564058570579713,193913,193915,193913,193915,12603999316,0,1470266597379937811
2022-01-05 00:24:00,2424933840,-637858482206018063,193912,193912,193911,193912,7266042400,1277136553385574456,1470266597379937811
2022-01-05 00:25:00,0,0,193912,193912,193912,193912,0,0,1470266597379937811
2022-01-05 00:26:00,-4511062452,1190189767745825498,193913,193912,193912,193913,0,1190189767745825498,1470266597379937811
2022-01-05 00:27:00,-13876103840,3661787343918440780,193916,193914,193914,193916,0,3661787343918440780,1470266597379937811
2022-01-05 00:28:00,-7786104780,2055179434950322569,193918,193918,193918,193918,0,2055179434950322569,1470266597379937811
2022-01-05 00:29:00,-2311623199,610232022353055101,193918,193918,193918,193918,0,610232022353055101,1470266597379937811
2022-01-05 00:30:00,2492416187,-657299418050113243,193918,193918,193918,193918,2492416187,0,1470266597379937811
2022-01-05 00:31:00,23447024156,-6181673090886443225,193913,193914,193913,193914,23447024156,0,1470266597379937811
2022-01-05 00:32:00,44960891858,-11844780962503623093,193903,193912,193903,193912,44960891858,0,1496871524701021358
2022-01-05 00:33:00,0,0,193903,193903,193903,193903,0,0,1496871524701021358
2022-01-05 00:34:00,-1652449518,436142202474319997,193903,193904,193903,193904,2200000000,1015475709331850077,1496871524701021358
2022-01-05 00:35:00,12586416718,-3313892973319316793,193901,193902,193901,193902,12586416718,0,1496871524701021358
2022-01-05 00:36:00,2311372430,-608465814051486726,193900,193901,193900,193901,2311372430,0,1496871524701021358
2022-01-05 00:37:00,21549119228,-5671311453260867473,193895,193900,193895,193900,21549119228,0,1496871524701021358
2022-01-05 00:38:00,0,0,193895,193895,193895,193895,0,0,1496871524701021358
2022-01-05 00:39:00,4327848675,-1138686774329449283,193894,193895,193894,193895,4327848675,0,1496871524701021358
2022-01-05 00:40:00,0,0,193894,193894,193894,193894,0,0,1496871524701021358
2022-01-05 00:41:00,1200000,-315713452486512,193894,193894,193894,193894,1200000,0,1496871524701021358
2022-01-05 00:42:00,0,0,193894,193894,193894,193894,0,0,1496871524701021358
2022-01-05 00:43:00,0,0,193894,193894,193894,193894,0,0,1496871524701021358
2022-01-05 00:44:00,2518955506,-662705337387597436,193894,193894,193894,193894,2518955506,0,1495292601985617822
2022-01-05 00:45:00,0,0,193894,193894,193894,193894,0,0,1495292601985617822
2022-01-05 00:46:00,7067417860,-1859114393743678335,193894,193892,193892,193892,7221592215,40594515119894746,1495292601985617822
2022-01-05 00:47:00,0,0,193894,193894,193894,193894,0,0,1495292601985617822
2022-01-05 00:48:00,2200000000,-578673855250293947,193892,193892,193892,193892,2200000000,0,1495292601985617822
2022-01-05 00:49:00,3821370568,-1005083185995711835,193891,193891,193891,193891,3821370568,0,1497695761765603694
2022-01-05 00:50:00,0,0,193891,193891,193891,193891,0,0,1497695761765603694
2022-01-05 00:51:00,0,0,193891,193891,193891,193891,0,0,1497695761765603694
2022-01-05 00:52:00,3694586337,-971657790440845657,193890,193890,193890,193890,3694586337,0,1497695761765603694
2022-01-05 00:53:00,0,0,193890,193890,193890,193890,0,0,1497695761765603694
2022-01-05 00:54:00,674748141,-177447004172279057,193890,193890,193890,193890,674748141,0,1497695761765603694
2022-01-05 00:55:00,2000000000,-525949923824696681,193890,193890,193890,193890,2000000000,0,1497695761765603694
2022-01-05 00:56:00,49703011478,-13062991832262413538,193878,193885,193878,193885,49703011478,0,1422203900087720415
2022-01-05 00:57:00,35561078131,-9337130563770490245,193870,193877,193870,193877,35561078131,0,1422203900087720415
2022-01-05 00:58:00,9544259691,-2504711100800010180,193868,193868,193868,193868,9544259691,0,1422203900087720415
2022-01-05 00:59:00,-78195310,20539207784996585,193868,193868,193868,193868,0,20539207784996585,1422203900087720415
2022-01-05 01:00:00,0,0,193868,193868,193868,193868,0,0,1422203900087720415
2022-01-05 01:01:00,-17729602246,4661839223556280829,193872,193871,193867,193872,15000000000,8598204752511091176,1422203900087720415
2022-01-05 01:02:00,0,0,193872,193872,193872,193872,0,0,1422203900087720415
2022-01-05 01:03:00,-4338832070,1140260588136497130,193873,193872,193872,193873,338461538,1229109554718573222,1650739319686756266
2022-01-05 01:04:00,342040292,-89796066230506380,193873,193873,193873,193873,342040292,0,1650739319686756266
