block_number,block_timestamp,tx_type,transaction_hash,pool_tx_index,pool_log_index,proxy_log_index,sender,receipt,amount0,amount1,total_liquidity,total_liquidity_delta,sqrtPriceX96,current_tick,position_id,tick_lower,tick_upper,liquidity
23353830,2022-01-05 00:00:02,SWAP,0xa47dbaeb8275a6a6e6f5cda339c3b982e71415a2947d1cbe4b4d0723c02137f6,0,3,,0xe592427a0aece92de3edee1f18e0157c05861564,0x8b26320912935111300ddaeec15ea9a182ff6f1a,-2988196954,788911381103277696,1729804611907121590,0,1287023799018574070893171027089208,193919.0,,,,
23353834,2022-01-05 00:00:18,SWAP,0x7566ec0d48f21e53c84fd267bf87443e094f5cacfe240690cae1a3bf0aaf2529,1,5,,0xe592427a0aece92de3edee1f18e0157c05861564,0x693fb96fdda3c382fde7f43a622209c3dd028b98,-6395248160,1688573667392444160,1400049692807883305,0,1287118070971117051322430346813440,193921.0,,,,
23353845,2022-01-05 00:01:02,SWAP,0xc77cbe4b5cf20b2af08d74927af27f41b443d2f9a0322052630855d70e269c68,25,129,,0xe592427a0aece92de3edee1f18e0157c05861564,0xdb6f1920a889355780af7570773609bd8cb1f498,704261153,-185776421219732362,1400049692807883305,0,1287107557969637656616044652513301,193921.0,,,,
23353856,2022-01-05 00:01:50,SWAP,0xb7ea8c4f4cc6a8df378663615b847d370b2ea78d085fdbdbec62db8265e62f04,3,14,,0x897a6bbee1f08fd5ca3e698db6645bcf2c85b936,0x7228cc6599676dbf447430833773a9233aa95c88,-25113820140,6633260771802142133,1400049692807883305,0,1287482743432407298521525068985609,193927.0,,,,
23353857,2022-01-05 00:01:54,SWAP,0x326ca2719ba94394854229218be59698e827b662fbfa4df5c6490ab8ad3f8836,6,161,,0x897a6bbee1f08fd5ca3e698db6645bcf2c85b936,0x7228cc6599676dbf447430833773a9233aa95c88,-10908202563,2882365504686888382,1400049692807883305,0,1287645773603080567427606753091112,193929.0,,,,
23353859,2022-01-05 00:02:02,SWAP,0xfa14a3788d0d79f52b2e8d638170bdcbd5bd7d18b78c044c9738d39e7a2d2235,8,53,,0x897a6bbee1f08fd5ca3e698db6645bcf2c85b936,0x7228cc6599676dbf447430833773a9233aa95c88,-32158705375,8501825902958410385,1393825572404236292,0,1288128674575980309311667419895980,193937.0,,,,
23353860,2022-01-05 00:02:06,SWAP,0xac700ff9385d2952fb9b88b7b5a484c236c1074050523a8f14ea950ae895434b,26,133,,0xe592427a0aece92de3edee1f18e0157c05861564,0xdb6f1920a889355780af7570773609bd8cb1f498,-5399731444,1428157306598663534,1393825572404236292,0,1288209813641213890801267469015127,193938.0,,,,
23353872,2022-01-05 00:02:54,SWAP,0x642036079813dfa38c0645f3b60e55d428a79d3132e2ec25a0cdc41bc1962824,69,279,,0xe592427a0aece92de3edee1f18e0157c05861564,0xe592427a0aece92de3edee1f18e0157c05861564,499743350,-132050889360371577,1393825572404236292,0,1288202307573360400139527148744328,193938.0,,,,
23353873,2022-01-05 00:02:58,SWAP,0x113752947a4bbf6e70c55f22f50bbfe4dffff6657b762e250d632ea223e85918,3,82,,0x897a6bbee1f08fd5ca3e698db6645bcf2c85b936,0x7228cc6599676dbf447430833773a9233aa95c88,-9136748659,2416930417752100505,1395128131590419632,0,1288339601167270076497032206241902,193940.0,,,,
23353873,2022-01-05 00:02:58,SWAP,0xb2183e6bf0bc7b845640fafdfa2dc4d1dbfec186a6cb6b9ed0c48f37a1f4947b,4,93,,0x897a6bbee1f08fd5ca3e698db6645bcf2c85b936,0x7228cc6599676dbf447430833773a9233aa95c88,-2387832470,631734635014781488,1395128131590419632,0,1288375458912239097580321677050136,193940.0,,,,
