block_number,block_timestamp,transaction_hash,pool_tx_index,pool_log_index,pool_topics,pool_data,proxy_topics,proxy_data,proxy_log_index
50351875,2023-11-25 00:00:05+00:00,0xbcada78fbc2796bca8e669d5310dda64365d741f670017750c55eb89a0ff292e,25,31,"['0xc42079f94a6350d7e6235f29174924f928cc2ac818eb64fed8004e115fbcca67', '0x000000000000000000000000882b5cd9e9555ef6b674574a3eddc77cd695bdb4', '0x000000000000000000000000bfa1cbfc7b79115947889ac7cb25801ee8055df9']",0x0000000000000000000000000000000000000000000000000000000083b88ef1fffffffffffffffffffffffffffffffffffffffffffffffff1456ba3d978682f000000000000000000000000000000000000559fc569152aa0a790ff5a3c64910000000000000000000000000000000000000000000000000fe055669226bb9d0000000000000000000000000000000000000000000000000000000000030ce8,[],,
50351965,2023-11-25 00:03:19+00:00,0x6613906a608226d6f9db8e2098bc42e7dec4f6b55d7ae935876090e013e2900e,263,326,"['0xc42079f94a6350d7e6235f29174924f928cc2ac818eb64fed8004e115fbcca67', '0x000000000000000000000000c5620d0f23aa9157523df2f96f87ed17ad65129e', '0x000000000000000000000000c5620d0f23aa9157523df2f96f87ed17ad65129e']",0xfffffffffffffffffffffffffffffffffffffffffffffffffffffffffad7a59c0000000000000000000000000000000000000000000000000093c812c62dcf9a000000000000000000000000000000000000559fceb6d17ef9181fda88e7b5d10000000000000000000000000000000000000000000000000fe055669226bb9d0000000000000000000000000000000000000000000000000000000000030ce8,[],,
50351970,2023-11-25 00:03:31+00:00,0xbde31bec085bf9fd0d8903b4d5b74e82d556aecd269d4fb4c106b921fe2a6c0c,90,143,"['0xc42079f94a6350d7e6235f29174924f928cc2ac818eb64fed8004e115fbcca67', '0x000000000000000000000000e592427a0aece92de3edee1f18e0157c05861564', '0x000000000000000000000000ac604cc7e2a71e6b4af961c4ddbf72439d7dbd0d']",0xfffffffffffffffffffffffffffffffffffffffffffffffffffffffff4dbe58c000000000000000000000000000000000000000000000000013f39bca7a45960000000000000000000000000000000000000559fe2cfa5e767efe91733e769050000000000000000000000000000000000000000000000000fe055669226bb9d0000000000000000000000000000000000000000000000000000000000030ce8,[],,
50351985,2023-11-25 00:04:03+00:00,0x336cad6af2c90a81aa81c39d2482ab56b37b93b49f8125017ff016c107d04347,355,507,"['0xc42079f94a6350d7e6235f29174924f928cc2ac818eb64fed8004e115fbcca67', '0x00000000000000000000000068b3465833fb72a70ecdf485e0e4c7bd8665fc45', '0x00000000000000000000000068b3465833fb72a70ecdf485e0e4c7bd8665fc45']",0xffffffffffffffffffffffffffffffffffffffffffffffffffffffffff48c3180000000000000000000000000000000000000000000000000014825cfa6dab03000000000000000000000000000000000000559fe41a2fe6098eba07f32fe3be0000000000000000000000000000000000000000000000000fe055669226bb9d0000000000000000000000000000000000000000000000000000000000030ce8,[],,
50351987,2023-11-25 00:04:07+00:00,0x75bd3234c976f10a4ae419f7c2e7f4b262fc8d493ac97b085000843b4dd6ce83,79,195,"['0xc42079f94a6350d7e6235f29174924f928cc2ac818eb64fed8004e115fbcca67', '0x000000000000000000000000c5620d0f23aa9157523df2f96f87ed17ad65129e', '0x000000000000000000000000c5620d0f23aa9157523df2f96f87ed17ad65129e']",0xffffffffffffffffffffffffffffffffffffffffffffffffffffffffe170c231000000000000000000000000000000000000000000000000036ba398e20afefa00000000000000000000000000000000000055a01b3a828d500b4c5404533a6d0000000000000000000000000000000000000000000000000fe055669226bb9d0000000000000000000000000000000000000000000000000000000000030ce9,[],,
50351988,2023-11-25 00:04:09+00:00,0xbbc8fd17db36bcfc5ec295a951f04625c57101475a744a9384e8f8d63cd903f2,41,129,"['0xc42079f94a6350d7e6235f29174924f928cc2ac818eb64fed8004e115fbcca67', '0x000000000000000000000000e592427a0aece92de3edee1f18e0157c05861564', '0x00000000000000000000000029cad5c2747cbc6c9e37074128fbe679ba8bbd10']",0xffffffffffffffffffffffffffffffffffffffffffffffffffffffffba317e8c00000000000000000000000000000000000000000000000007d045da1c7c638000000000000000000000000000000000000055a099281aaac3182f45726255c00000000000000000000000000000000000000000000000000fe055669226bb9d0000000000000000000000000000000000000000000000000000000000030ce9,[],,
50351989,2023-11-25 00:04:11+00:00,0x6b0b10d77d575908a57255b9f692358c97616ee04f78e5737c1b9b39abc2f50d,54,137,"['0xc42079f94a6350d7e6235f29174924f928cc2ac818eb64fed8004e115fbcca67', '0x000000000000000000000000882b5cd9e9555ef6b674574a3eddc77cd695bdb4', '0x000000000000000000000000bfa1cbfc7b79115947889ac7cb25801ee8055df9']",0xfffffffffffffffffffffffffffffffffffffffffffffffffffffffeda32d2aa00000000000000000000000000000000000000000000000020e3b5998b60980000000000000000000000000000000000000055a2ab392d97f19c942d4d8137220000000000000000000000000000000000000000000000000fe055669226bb9d0000000000000000000000000000000000000000000000000000000000030ceb,[],,
50351990,2023-11-25 00:04:13+00:00,0x29f943b5bc159401838739e30b50c5d6fcb5349f8cd1d9abd49657b844fe929b,74,168,"['0xc42079f94a6350d7e6235f29174924f928cc2ac818eb64fed8004e115fbcca67', '0x000000000000000000000000ec409dcbf5a2e5cebd7b27a849ac407fe088e2c7', '0x000000000000000000000000de5167c19a5286889752cb0f31a1c7f28a99fefb']",0xfffffffffffffffffffffffffffffffffffffffffffffffffffffffff4156b7e00000000000000000000000000000000000000000000000001558790a13f26bc00000000000000000000000000000000000055a2c0b9790199a1c60095dc8f030000000000000000000000000000000000000000000000000fe055669226bb9d0000000000000000000000000000000000000000000000000000000000030ceb,[],,
50351990,2023-11-25 00:04:13+00:00,0x489496e4a96b456ef59c9143c8586060dc62ac445d6796003359dd8eeb19b6a1,340,481,"['0xc42079f94a6350d7e6235f29174924f928cc2ac818eb64fed8004e115fbcca67', '0x0000000000000000000000000773edc0438b2ef18fc535b21d0ac77912c308c0', '0x0000000000000000000000002d722c96f79d149dd21e9ef36f93fc12906ce9f8']",0xffffffffffffffffffffffffffffffffffffffffffffffffffffffffa4e2f9750000000000000000000000000000000000000000000000000a337433975da41900000000000000000000000000000000000055a3652139f5e0ea0e11237b37170000000000000000000000000000000000000000000000000fe055669226bb9d0000000000000000000000000000000000000000000000000000000000030cec,[],,
50351998,2023-11-25 00:04:29+00:00,0xcb4180827544b526a2613fd8704669576d5a39a07447d1f1b268882d2bb36039,61,89,"['0xc42079f94a6350d7e6235f29174924f928cc2ac818eb64fed8004e115fbcca67', '0x000000000000000000000000882b5cd9e9555ef6b674574a3eddc77cd695bdb4', '0x000000000000000000000000bfa1cbfc7b79115947889ac7cb25801ee8055df9']",0x00000000000000000000000000000000000000000000000000000000887cdbe4fffffffffffffffffffffffffffffffffffffffffffffffff0bc0362ecd91d7c00000000000000000000000000000000000055a26efa4411e19f80fecac6674d0000000000000000000000000000000000000000000000000fe055669226bb9d0000000000000000000000000000000000000000000000000000000000030ceb,[],,
50351999,2023-11-25 00:04:31+00:00,0xb2a74c5f9b1e116a72ca287f4532ed1e5de339940f720c5c0a55ec2c271296eb,1,10,"['0xc42079f94a6350d7e6235f29174924f928cc2ac818eb64fed8004e115fbcca67', '0x000000000000000000000000e592427a0aece92de3edee1f18e0157c05861564', '0x0000000000000000000000007c7a121c601b9b77b1e441c28b6dd17b882636e3']",0x00000000000000000000000000000000000000000000000000000000504b013afffffffffffffffffffffffffffffffffffffffffffffffff7052b8bb1f5ffe300000000000000000000000000000000000055a1de2e69f3fa2089f9f5a731fd0000000000000000000000000000000000000000000000000fe055669226bb9d0000000000000000000000000000000000000000000000000000000000030cea,[],,
50352000,2023-11-25 00:04:35+00:00,0x2e83022d276afa9281ead0a5d27adcc160fef3a5682b2bb75cc51f43683e3795,5,52,"['0xc42079f94a6350d7e6235f29174924f928cc2ac818eb64fed8004e115fbcca67', '0x00000000000000000000000083885cab02a0b906836225442fa17dcfe9cbf797', '0x00000000000000000000000083885cab02a0b906836225442fa17dcfe9cbf797']",0x00000000000000000000000000000000000000000000000000000000df316cb0ffffffffffffffffffffffffffffffffffffffffffffffffe70a7d667f5283d700000000000000000000000000000000000055a04bb9bb1e288710a93d5037650000000000000000000000000000000000000000000000000fe055669226bb9d0000000000000000000000000000000000000000000000000000000000030ce9,[],,
50352008,2023-11-25 00:04:51+00:00,0xe034d442b66c288f75a1dec8c4a6fcfa3cd47a3f40faea9dc503adc57de0dfa8,285,384,"['0xc42079f94a6350d7e6235f29174924f928cc2ac818eb64fed8004e115fbcca67', '0x000000000000000000000000e592427a0aece92de3edee1f18e0157c05861564', '0x00000000000000000000000070270c228c5b4279d1578799926873aa72446ccd']",0xfffffffffffffffffffffffffffffffffffffffffffffffffffffffffcac9f3d000000000000000000000000000000000000000000000000005f4baf2a869e6000000000000000000000000000000000000055a051b9928fb93c7b4b3ba815b10000000000000000000000000000000000000000000000000fe055669226bb9d0000000000000000000000000000000000000000000000000000000000030ce9,[],,
50352016,2023-11-25 00:05:09+00:00,0xf0426dda9a897cda1c5b0face4c77d43a5d203a4a77c85adcb60c6c73118dc75,644,771,"['0xc42079f94a6350d7e6235f29174924f928cc2ac818eb64fed8004e115fbcca67', '0x000000000000000000000000643770e279d5d0733f21d6dc03a8efbabf3255b4', '0x000000000000000000000000d54359211790f9fc89dbf9ec9feb4354c6687470']",0x00000000000000000000000000000000000000000000000000000000635a4b6dfffffffffffffffffffffffffffffffffffffffffffffffff4e40bdaaf0fa14c000000000000000000000000000000000000559f9e97c8c6f453aa5d0d3e945b0000000000000000000000000000000000000000000000000fe055669226bb9d0000000000000000000000000000000000000000000000000000000000030ce8,[],,
50352033,2023-11-25 00:05:45+00:00,0x92fb7aaa2b61ad0bc91de4e42cb81d50db1d37e119a34f649529f1e14fcdc602,122,240,"['0xc42079f94a6350d7e6235f29174924f928cc2ac818eb64fed8004e115fbcca67', '0x000000000000000000000000e592427a0aece92de3edee1f18e0157c05861564', '0x0000000000000000000000004ca010ca5043f829bdd5bceaf48220a1f5e25079']",0xffffffffffffffffffffffffffffffffffffffffffffffffffffffffa460aa750000000000000000000000000000000000000000000000000a414b012cc30f8000000000000000000000000000000000000055a043de93aa4c57d8d522e492540000000000000000000000000000000000000000000000000fe055669226bb9d0000000000000000000000000000000000000000000000000000000000030ce9,[],,
50352127,2023-11-25 00:09:03+00:00,0x42cd8424e1d68cb7141cbb8f0a9457681bc92cafafb9c4b856d2cd4812702477,0,16,"['0xc42079f94a6350d7e6235f29174924f928cc2ac818eb64fed8004e115fbcca67', '0x000000000000000000000000e592427a0aece92de3edee1f18e0157c05861564', '0x000000000000000000000000e592427a0aece92de3edee1f18e0157c05861564']",0x0000000000000000000000000000000000000000000000000000000001b43323ffffffffffffffffffffffffffffffffffffffffffffffffffcf3987b2e4469800000000000000000000000000000000000055a040cc1793318891b8d22fd22e0000000000000000000000000000000000000000000000000fe055669226bb9d0000000000000000000000000000000000000000000000000000000000030ce9,[],,
50352135,2023-11-25 00:09:21+00:00,0xff7cb5deadee2c0b7cad217ee988fa3792601a6de79d7d6910e69d63398132b9,2,15,"['0xc42079f94a6350d7e6235f29174924f928cc2ac818eb64fed8004e115fbcca67', '0x000000000000000000000000c0497f48517f3031a8cf85591b99b27c2585a637', '0x000000000000000000000000c43f4d3573d72f5bb1bb53e81080f6a6342dd3b9']",0x000000000000000000000000000000000000000000000000000000001e07d8e6fffffffffffffffffffffffffffffffffffffffffffffffffca45d2b9b27d33800000000000000000000000000000000000055a00aa6c0a07920810b624312640000000000000000000000000000000000000000000000000fe055669226bb9d0000000000000000000000000000000000000000000000000000000000030ce9,[],,
50352139,2023-11-25 00:09:29+00:00,0x7294355005dd7c7e7c662c0a8db18162d487e04e14ad786a6b7432adc290d92a,0,5,"['0xc42079f94a6350d7e6235f29174924f928cc2ac818eb64fed8004e115fbcca67', '0x000000000000000000000000e592427a0aece92de3edee1f18e0157c05861564', '0x0000000000000000000000007c7a121c601b9b77b1e441c28b6dd17b882636e3']",0x00000000000000000000000000000000000000000000000000000000904030e0ffffffffffffffffffffffffffffffffffffffffffffffffefdf0325c6f7dfca000000000000000000000000000000000000559f06943a157b1d33cd1750832b0000000000000000000000000000000000000000000000000fe055669226bb9d0000000000000000000000000000000000000000000000000000000000030ce8,[],,
