block_number,block_timestamp,tx_type,transaction_hash,transaction_index,log_index,reserve,owner,amount,liquidator,debt_asset,debt_amount,atoken
51986040,2024-01-06 00:00:01,AAVE_BORROW,0x3dc41b61e4f2b2c9d2d22e7e1ca1342280a2261b973c7ffe34e3b1bf054a3883,87,328,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x2f2897f730e8502a166785752cca06dee693ffec,400000000,,,,
51986042,2024-01-06 00:00:05,AAVE_SUPPLY,0xc9338b0da66b917277c20fb6cfea30757c7587d91d76ed81171b5c773ad1d7e8,29,199,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x4bb91b4c578b661ec21b3fc27b2138b3637931ee,8090433680,,,,
51986173,2024-01-06 00:05:16,AAVE_SUPPLY,0xcebbae9482289f9bf1c6dae5de8aa56a2e49e0e4536763f0f3895d23f4a264f6,64,270,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x2f2897f730e8502a166785752cca06dee693ffec,557352340,,,,
51986192,2024-01-06 00:05:58,AAVE_WITHDRAW,0x6951ef75697445ee216f2e4765a6371226a8878534d6a6d8aace21b291997f4f,94,413,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x2f2897f730e8502a166785752cca06dee693ffec,557352413,,,,
51986192,2024-01-06 00:05:58,AAVE_BORROW,0x72e0d2b289bd0dcf4cdb948053c14e018d06c6735bede587b593b6dddbf47232,99,428,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x80d661e0b5184dd195acd7145e72fbf1d64b7d41,60000000,,,,
51986211,2024-01-06 00:06:38,AAVE_REPAY,0x75c12805c9a8e057994ed33abb2017c1a4c9abd371243b3a77b5a3bdec5fa691,58,259,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x2f2897f730e8502a166785752cca06dee693ffec,557352413,,,,0.0
51986272,2024-01-06 00:08:48,AAVE_WITHDRAW,0xdd85c870ec68d43e47c2bb8e20769496995055dde5c5dca6e5356f84d351a5c8,91,396,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0xe3090207a2de94a856ea10a7e1bd36dd6145712b,209563905,,,,
51986333,2024-01-06 00:10:56,AAVE_WITHDRAW,0xddcc3e3fce55c61ddb5bdf6115a44e140864cfa29f01fc46223b1c55e349bd8b,23,92,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0xa9cffe466ba8a72707d1104de239c9ab477e2493,2428810,,,,
51986367,2024-01-06 00:12:08,AAVE_REPAY,0x48be4d5b494a4ba248dad25655637ea99a07b1cd9f61c03c968f5027eb84b146,68,252,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x54c40fb7c72f7f2521e4e1c5ddd2acac43fafa21,181160733,,,,0.0
51986384,2024-01-06 00:13:18,AAVE_BORROW,0xc1e4928ea59c87a30ec4633d82f3cb8bfe37e47b70eb6d7ee4d6f521f248fe12,159,623,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0xf73eedbf17f8d3464dbb90609da55b804493239b,1171339816,,,,
