block_number,block_timestamp,tx_type,transaction_hash,transaction_index,log_index,reserve,owner,amount,liquidator,debt_asset,debt_amount,atoken
51986202,2024-01-06 00:06:18,AAVE_SUPPLY,0x2e893394725600bc73f2bf977b024862a78f447e571924fb12a14d73c3a769e1,55,177,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,0xa77f88c5031648b7903afaca4e2a431f21f07f0c,1859618478297055008,,,,
51986321,2024-01-06 00:10:32,AAVE_WITHDRAW,0xeba1a9ee6810e9926c5bd35116f53c1a5fe00a5a9efdfec081222328fb305328,97,425,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,0xe3090207a2de94a856ea10a7e1bd36dd6145712b,66616488095173136,,,,
51986321,2024-01-06 00:10:32,AAVE_SUPPLY,0xeba1a9ee6810e9926c5bd35116f53c1a5fe00a5a9efdfec081222328fb305328,97,448,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,0xa21b1745bd19575b08e4912bbb1c89c67dff859b,331425313906334,,,,
51986333,2024-01-06 00:10:56,AAVE_SUPPLY,0xddcc3e3fce55c61ddb5bdf6115a44e140864cfa29f01fc46223b1c55e349bd8b,23,171,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,0xa7a7ffe0520e90491e58c9c77f78d7cfc32d019e,149855108323314676,,,,
51986385,2024-01-06 00:13:20,AAVE_SUPPLY,0xf8508f6815e557f89bf1896ffcfd7970b7385cbd4567eea9751207a5fe0b8582,26,94,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,0xfa1be1a89519ea535382416e2af0d2f9f09d7975,50000000000000000,,,,
51986547,2024-01-06 00:19:12,AAVE_SUPPLY,0xe03cae9f5b09b9816f6a07b7c735a61cbcbe7c4b669a1d8aa233a42bba9848f8,54,157,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,0x673f1e4b3689769e08ed27d0e91ee0a16b307446,150274848112767173,,,,
51986854,2024-01-06 00:31:03,AAVE_WITHDRAW,0xf04da273a6d750078ab7aa5dd891f504655172650a8a0630fe2de609e0f632b3,58,263,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,0xa79f87cd51834ce30b14c71b107859dc54bcff6e,152930757494925010,,,,
51986966,2024-01-06 00:35:33,AAVE_SUPPLY,0x41175d3927292d22de73c788e45cdcf56587cb42c7b8d72d4e8538b7c2039801,64,286,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,0xb6596d96c89256986d9c8ef63dcfc1f89a870750,48696047567463986,,,,
51986967,2024-01-06 00:35:35,AAVE_WITHDRAW,0x09ddcc11574090b042816bbc703d8974cb29cb9653f5afc77860f03db06df579,30,112,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,0x647b41b745cf5e32e244e432902468c4bd89643c,444000000000000000,,,,
51987026,2024-01-06 00:37:47,AAVE_SUPPLY,0xafbed780ca0664351a0addbe49ca92aa036ce846997d99b6c4a0a0b43e08bc9a,140,648,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,0xa2e42a534d2160825ff97c553b562067c2ec1fcd,53992401438281629,,,,
51987092,2024-01-06 00:40:07,AAVE_BORROW,0x9f8661a8bbccfe5992b3cf7e0b5d8bc24ac964acebf00331965fc4c459e1f3a0,25,165,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,0xf332c6569e316bf90b35ad584804d3e4c9037cdf,345802257708249647,,,,
51987114,2024-01-06 00:40:53,AAVE_WITHDRAW,0xb3888a55ff80da6ee214236fb533fe77eee8f512c143b234406a6190856e8501,13,47,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,0x647b41b745cf5e32e244e432902468c4bd89643c,400000000000000000,,,,
51987180,2024-01-06 00:43:41,AAVE_SUPPLY,0x9e27a77ad8726ace68cf786957be0ea591f59a8f6a52df6615af1d85658e2285,107,365,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,0xd3aadf36b6a202f2bf8d689a508990f6042eee77,18099768242474075638,,,,
51987363,2024-01-06 00:50:49,AAVE_SUPPLY,0x50f6eb03cb636594acdaf9bb4894406dd092f488e6524067403eaebfe54a913a,13,65,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,0xa7a7ffe0520e90491e58c9c77f78d7cfc32d019e,38219573176297321,,,,
51987619,2024-01-06 01:00:47,AAVE_SUPPLY,0xf9b95e76f252bb0b307611d1900cc46e02b696891ce313dabd5118c889ede59c,46,213,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,0x56722c5fd474d0b1a3b53a1585432c3f865b1137,459622094769371,,,,
51987655,2024-01-06 01:02:03,AAVE_BORROW,0x3e65f159589adf23671661089fe343cc28110c4dea69b83fc2bcab4e51ac0155,39,93,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,0xc258d51d09bbfb9d99365e95d16d197a78469128,3000000000000000000,,,,
51987754,2024-01-06 01:05:37,AAVE_SUPPLY,0x01db841629305d0652cbcaac2643cb1a0931c65bdaa08a936940f3d762d77bb7,31,225,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,0x858394bb6957605ad6685c16a063e562a5212fc8,10021918129015454047,,,,
51987855,2024-01-06 01:09:11,AAVE_BORROW,0xee62f19fb2c2423cd311d5b0340138edfb0f95aa03c3f6090a433b2564d2c535,12,81,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,0xc258d51d09bbfb9d99365e95d16d197a78469128,2500000000000000000,,,,
51987873,2024-01-06 01:09:51,AAVE_WITHDRAW,0x5ca468fd254c8476b3179163efbeecba6f494d955c8e8d705aff6f18e943daf2,57,283,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,0xa70c8401c058b6198e1cb085091de13498cec0dc,440644886578848,,,,
51987899,2024-01-06 01:10:45,AAVE_SUPPLY,0xaa78fb714f3573da6597919b13719293fdb1f2455161be9cc8915eb5817f01da,48,206,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,0x6031ec7fb12d39ad2431517746ecf350c2a78824,11710275677297438349,,,,
