block_number,block_timestamp,tx_type,transaction_hash,pool_tx_index,pool_log_index,proxy_log_index,sender,receipt,amount0,amount1,total_liquidity,total_liquidity_delta,sqrtPriceX96,current_tick,position_id,tick_lower,tick_upper,liquidity
22808181,2021-12-22 00:18:09,SWAP,0x266d3e5ebc0ccc40c88c2bcdce79413401cd17e9d75eccc2e99b88bb90a057d4,51,228,,0xe592427a0aece92de3edee1f18e0157c05861564,0xdb6f1920a889355780af7570773609bd8cb1f498,245790,-61367002883184,53867413708118,0,1252154668797276064405735117555928,193370.0,,,,
22811436,2021-12-22 02:18:44,SWAP,0x48271877aa83c1156b6c9441f9d21b76a704af62a4855e27e3add65305170838,40,177,,0xe592427a0aece92de3edee1f18e0157c05861564,0xdb6f1920a889355780af7570773609bd8cb1f498,190533,-47428195889320,260094363135,0,1244915501210755606404755650456858,193254.0,,,,
22818509,2021-12-22 06:38:52,SWAP,0xffd5690bf69a5ed257ade18f3653c6c714774a08eebfd3dc9df23e1836ebced5,75,307,,0xe592427a0aece92de3edee1f18e0157c05861564,0xdb6f1920a889355780af7570773609bd8cb1f498,-27647,6841075956364,260094363135,0,1246998340946975354959663788119560,193288.0,,,,
22827964,2021-12-22 12:34:15,SWAP,0xdcba848a0c6b9689a86be43fb9410783759236bf0cb664503f0f428c0652b5e8,131,814,,0xe592427a0aece92de3edee1f18e0157c05861564,0xe592427a0aece92de3edee1f18e0157c05861564,-1110189,277436554468706,53867413708118,0,1252502817757894017419766205503286,193376.0,,,,
22828041,2021-12-22 12:37:03,SWAP,0x7e208d05df6e1cbdb32f725e3146ab36107c83377fb29403fe82cee492fb033b,46,331,,0xe592427a0aece92de3edee1f18e0157c05861564,0xe592427a0aece92de3edee1f18e0157c05861564,-1274476,318793595992151,53867413708118,0,1252971464763171577859972298166207,193383.0,,,,
22828054,2021-12-22 12:37:29,SWAP,0x8ca56278e62c6c386876fce91538ed462c57bc7fd92d0da6ee4b01cfeebfc354,52,570,,0xe592427a0aece92de3edee1f18e0157c05861564,0xe592427a0aece92de3edee1f18e0157c05861564,-6503560,1630503020770993,53867413708118,0,1255368408639670142749640001029755,193421.0,,,,
22828594,2021-12-22 12:56:01,SWAP,0xe0aa3c4d94445ae85122c9bb6ae7b5c948b084a77faf2837383ab99b71e81706,35,276,,0xe592427a0aece92de3edee1f18e0157c05861564,0xdb6f1920a889355780af7570773609bd8cb1f498,-5052679,1271065959263275,53867413708118,0,1257236957013313292271934074846800,193451.0,,,,
22828690,2021-12-22 12:59:59,SWAP,0x130be591191b2f22ce410fffd324f1eff9602476d1311f9ef58c5b9168839ecd,245,651,,0xe592427a0aece92de3edee1f18e0157c05861564,0xdb6f1920a889355780af7570773609bd8cb1f498,-5615451,1417085427135678,53867413708118,0,1259320163357476996916436860844329,193484.0,,,,
22828911,2021-12-22 13:09:03,SWAP,0xb3f169d50b82d5d817fa1716da2e08b531f591e98058bf13c44e3810bb2627e9,46,209,,0xe592427a0aece92de3edee1f18e0157c05861564,0xdb6f1920a889355780af7570773609bd8cb1f498,1343800,-339202046047953,53867413708118,0,1258821265174336487827030446322579,193476.0,,,,
22829783,2021-12-22 13:41:11,SWAP,0xda830a1e5ab0ae26f829fcbc2233ba11d339f546a642f2a925feca743bc63809,56,484,,0xe592427a0aece92de3edee1f18e0157c05861564,0xdb6f1920a889355780af7570773609bd8cb1f498,-1256169,317391527592208,53867413708118,0,1259287851049261719125096291298917,193484.0,,,,
