block_number,block_timestamp,transaction_hash,pool_tx_index,pool_log_index,pool_topics,pool_data,proxy_topics,proxy_data,proxy_log_index
23353830,2022-01-05 00:00:02+00:00,0xa47dbaeb8275a6a6e6f5cda339c3b982e71415a2947d1cbe4b4d0723c02137f6,0,3,"['0xc42079f94a6350d7e6235f29174924f928cc2ac818eb64fed8004e115fbcca67', '0x000000000000000000000000e592427a0aece92de3edee1f18e0157c05861564', '0x0000000000000000000000008b26320912935111300ddaeec15ea9a182ff6f1a']",0xffffffffffffffffffffffffffffffffffffffffffffffffffffffff4de3bba60000000000000000000000000000000000000000000000000af2c6b8a5ec76800000000000000000000000000000000000003f74862e71484308ef7bb48a1738000000000000000000000000000000000000000000000000180180212f8e71b6000000000000000000000000000000000000000000000000000000000002f57f,[],,
23353834,2022-01-05 00:00:18+00:00,0x7566ec0d48f21e53c84fd267bf87443e094f5cacfe240690cae1a3bf0aaf2529,1,5,"['0xc42079f94a6350d7e6235f29174924f928cc2ac818eb64fed8004e115fbcca67', '0x000000000000000000000000e592427a0aece92de3edee1f18e0157c05861564', '0x000000000000000000000000693fb96fdda3c382fde7f43a622209c3dd028b98']",0xfffffffffffffffffffffffffffffffffffffffffffffffffffffffe82d041e0000000000000000000000000000000000000000000000000176f04cdd60157000000000000000000000000000000000000003f75b6ca5fbbd6df2cce1d68e000000000000000000000000000000000000000000000000000136df9c71fb56a29000000000000000000000000000000000000000000000000000000000002f581,[],,
23353845,2022-01-05 00:01:02+00:00,0xc77cbe4b5cf20b2af08d74927af27f41b443d2f9a0322052630855d70e269c68,25,129,"['0xc42079f94a6350d7e6235f29174924f928cc2ac818eb64fed8004e115fbcca67', '0x000000000000000000000000e592427a0aece92de3edee1f18e0157c05861564', '0x000000000000000000000000db6f1920a889355780af7570773609bd8cb1f498']",0x0000000000000000000000000000000000000000000000000000000029fa2c21fffffffffffffffffffffffffffffffffffffffffffffffffd6bfd54458df4760000000000000000000000000000000000003f7594d23913ac97b2f383c9c815000000000000000000000000000000000000000000000000136df9c71fb56a29000000000000000000000000000000000000000000000000000000000002f581,[],,
23353856,2022-01-05 00:01:50+00:00,0xb7ea8c4f4cc6a8df378663615b847d370b2ea78d085fdbdbec62db8265e62f04,3,14,"['0xc42079f94a6350d7e6235f29174924f928cc2ac818eb64fed8004e115fbcca67', '0x000000000000000000000000897a6bbee1f08fd5ca3e698db6645bcf2c85b936', '0x0000000000000000000000007228cc6599676dbf447430833773a9233aa95c88']",0xfffffffffffffffffffffffffffffffffffffffffffffffffffffffa271984140000000000000000000000000000000000000000000000005c0e138705ccd5b50000000000000000000000000000000000003f7a511c5d26aa5a924878877509000000000000000000000000000000000000000000000000136df9c71fb56a29000000000000000000000000000000000000000000000000000000000002f587,[],,
23353857,2022-01-05 00:01:54+00:00,0x326ca2719ba94394854229218be59698e827b662fbfa4df5c6490ab8ad3f8836,6,161,"['0xc42079f94a6350d7e6235f29174924f928cc2ac818eb64fed8004e115fbcca67', '0x000000000000000000000000897a6bbee1f08fd5ca3e698db6645bcf2c85b936', '0x0000000000000000000000007228cc6599676dbf447430833773a9233aa95c88']",0xfffffffffffffffffffffffffffffffffffffffffffffffffffffffd75d209bd00000000000000000000000000000000000000000000000028003827b3b395be0000000000000000000000000000000000003f7c5fe3c2a3e5c1494207649e28000000000000000000000000000000000000000000000000136df9c71fb56a29000000000000000000000000000000000000000000000000000000000002f589,[],,
23353859,2022-01-05 00:02:02+00:00,0xfa14a3788d0d79f52b2e8d638170bdcbd5bd7d18b78c044c9738d39e7a2d2235,8,53,"['0xc42079f94a6350d7e6235f29174924f928cc2ac818eb64fed8004e115fbcca67', '0x000000000000000000000000897a6bbee1f08fd5ca3e698db6645bcf2c85b936', '0x0000000000000000000000007228cc6599676dbf447430833773a9233aa95c88']",0xfffffffffffffffffffffffffffffffffffffffffffffffffffffff88331192100000000000000000000000000000000000000000000000075fc8d9d380cfa910000000000000000000000000000000000003f82783a15378f88472653a258ac0000000000000000000000000000000000000000000000001357dcf92a029004000000000000000000000000000000000000000000000000000000000002f591,[],,
23353860,2022-01-05 00:02:06+00:00,0xac700ff9385d2952fb9b88b7b5a484c236c1074050523a8f14ea950ae895434b,26,133,"['0xc42079f94a6350d7e6235f29174924f928cc2ac818eb64fed8004e115fbcca67', '0x000000000000000000000000e592427a0aece92de3edee1f18e0157c05861564', '0x000000000000000000000000db6f1920a889355780af7570773609bd8cb1f498']",0xfffffffffffffffffffffffffffffffffffffffffffffffffffffffebe26a30c00000000000000000000000000000000000000000000000013d1d580ef31256e0000000000000000000000000000000000003f837e66be9b8b9765e8e2c958570000000000000000000000000000000000000000000000001357dcf92a029004000000000000000000000000000000000000000000000000000000000002f592,[],,
23353872,2022-01-05 00:02:54+00:00,0x642036079813dfa38c0645f3b60e55d428a79d3132e2ec25a0cdc41bc1962824,69,279,"['0xc42079f94a6350d7e6235f29174924f928cc2ac818eb64fed8004e115fbcca67', '0x000000000000000000000000e592427a0aece92de3edee1f18e0157c05861564', '0x000000000000000000000000e592427a0aece92de3edee1f18e0157c05861564']",0x000000000000000000000000000000000000000000000000000000001dc97a76fffffffffffffffffffffffffffffffffffffffffffffffffe2adc6a6f6690870000000000000000000000000000000000003f836625dee9ddca68e77c0b2e880000000000000000000000000000000000000000000000001357dcf92a029004000000000000000000000000000000000000000000000000000000000002f592,[],,
23353873,2022-01-05 00:02:58+00:00,0x113752947a4bbf6e70c55f22f50bbfe4dffff6657b762e250d632ea223e85918,3,82,"['0xc42079f94a6350d7e6235f29174924f928cc2ac818eb64fed8004e115fbcca67', '0x000000000000000000000000897a6bbee1f08fd5ca3e698db6645bcf2c85b936', '0x0000000000000000000000007228cc6599676dbf447430833773a9233aa95c88']",0xfffffffffffffffffffffffffffffffffffffffffffffffffffffffddf68478d000000000000000000000000000000000000000000000000218aa968d4f34e990000000000000000000000000000000000003f8521c478492086c04c35de506e000000000000000000000000000000000000000000000000135c7da4db99f4b0000000000000000000000000000000000000000000000000000000000002f594,[],,
23353873,2022-01-05 00:02:58+00:00,0xb2183e6bf0bc7b845640fafdfa2dc4d1dbfec186a6cb6b9ed0c48f37a1f4947b,4,93,"['0xc42079f94a6350d7e6235f29174924f928cc2ac818eb64fed8004e115fbcca67', '0x000000000000000000000000897a6bbee1f08fd5ca3e698db6645bcf2c85b936', '0x0000000000000000000000007228cc6599676dbf447430833773a9233aa95c88']",0xffffffffffffffffffffffffffffffffffffffffffffffffffffffff71ac916a00000000000000000000000000000000000000000000000008c45f4db05dfa300000000000000000000000000000000000003f8595a14d22eb53cc575cfd0118000000000000000000000000000000000000000000000000135c7da4db99f4b0000000000000000000000000000000000000000000000000000000000002f594,[],,
